Listing ID,Name,Airbnb URL,Latitude,Longitude,Google Maps URL,Property Type,Room Type,Bedrooms,Bathrooms,Accommodates,Rating (out of 100),Reviews,Host ID,Host Name,Host Listings Count,Minimum Nights,Cancellation Policy,Cleaning Fee (USD),Extra People Fee (USD),Avg Daily Rate LTM (USD),Avg Occupancy Rate LTM (%),Annual Revenue LTM (USD),Revenue Potential (USD),Active Days LTM,Number of Bookings LTM,Allows Pets,Has License,License,Added On,Last Seen,LTM Performance Last Updated,Amenities - Parking,Amenities - Hot Tub,Amenities - Gym,Amenities - Pets,Amenities - Dryer,Amenities - Washer,Amenities - Pool,Amenities - Kitchen,Amenities - AC,Amenities - WiFi,Amenities - Heating,Amenities - TV,Amenities - BBQ Grill,Amenities - Fireplace,Amenities - Breakfast,Amenities - Beachfront,Amenities - Amazing Views,Booking.com URL,VRBO URL,Photo URL
949641260171344386,مسقط ، الموالح الجنوبية ،,https://airbnb.com/rooms/949641260171344386,23.611,58.228,"https://www.google.com/maps?q=23.611,58.228",Entire home,entire_home,4,4,6,0,1,525080968,Ali,,1,f,0,,81,13,3843,3843,365,33,,f,,12/26/2023,6/6/2025,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-949641260171344386/original/6d8bb525-ace6-49e3-8e0f-dd9f869d1ba9.jpeg?aki_policy=large
1125304005008983843,Flat with two rooms near beach.,https://airbnb.com/rooms/1125304005008983843,23.66459,58.21681,"https://www.google.com/maps?q=23.66459,58.21681",Entire rental unit,entire_home,2,2,6,0,1,562206250,Morteza,,1,f,0,,57,27,5617,5617,365,39,0,f,,4/9/2024,1/16/2026,,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-1125304005008983843/original/bca522e4-62b5-4094-b2d8-7a102d88183c.jpeg?aki_policy=large
970087535391191910,Muscat Apartment for daily rent,https://airbnb.com/rooms/970087535391191910,23.562,58.408,"https://www.google.com/maps?q=23.562,58.408",Private room in rental unit,private_room,1,1,2,0,0,534797709,Basim,,1,-1,,,69,13,3274,3274,365,32,0,f,,10/8/2024,1/16/2026,,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-970087535391191910/original/379410c8-edba-441b-aa01-dab0f5274672.jpeg?aki_policy=large
1058711423560363439,friendly guest place,https://airbnb.com/rooms/1058711423560363439,23.59878,58.38058,"https://www.google.com/maps?q=23.59878,58.38058",Private room in home,private_room,1,1,3,0,0,309644957,Mehdi,,1,f,0,,30,17,1862,1862,365,39,0,f,,1/9/2024,1/16/2026,,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/miso/Hosting-1058711423560363439/original/6ee8939a-a27b-438e-9553-2b29e4f3cab8.jpeg?aki_policy=large
1125598179968745778,Room for Daily and Weekly Rent,https://airbnb.com/rooms/1125598179968745778,23.576,58.412,"https://www.google.com/maps?q=23.576,58.412",Private room in bed and breakfast,private_room,1,1,2,0,0,543873950,Omar,,1,f,0,,23,17,1427,1427,365,43,0,f,,4/16/2024,1/16/2026,,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-1125598179968745778/original/73de3240-834a-496d-b55b-3302ff419052.jpeg?aki_policy=large
1077728073542886616,bed room with share bathroom,https://airbnb.com/rooms/1077728073542886616,23.603,58.443,"https://www.google.com/maps?q=23.603,58.443",Private room in home,private_room,1,1,2,0,0,555044470,Matin,,1,-1,,,26,17,1613,1613,365,39,0,f,,6/18/2024,1/16/2026,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-1077728073542886616/original/d9a6d87f-c33e-4e99-a0ba-34ad1348742e.jpeg?aki_policy=large
1076123925975773574,Spacious Studio Apartment,https://airbnb.com/rooms/1076123925975773574,23.60067,58.3912,"https://www.google.com/maps?q=23.60067,58.3912",Entire rental unit,entire_home,1,1,2,0,0,517485368,Mohammad Faizan,,1,f,0,,44,16,2570,2570,365,40,0,f,,2/13/2024,1/16/2026,,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/miso/Hosting-1076123925975773574/original/4f319a0b-b49d-4a2a-ab07-f8046e6a0d89.jpeg?aki_policy=large
16887117,Old Omani home.,https://airbnb.com/rooms/16887117,23.59679,58.60153,"https://www.google.com/maps?q=23.59679,58.60153",Private room in home,private_room,2,2,2,100,41,78403331,Malik,2,2,s,0,30,179,40,26062,26134,364,41,0,f,,,1/16/2026,,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,,,https://a0.muscache.com/im/pictures/30ff93a3-9d9f-49d7-a5c7-3d714eb46114.jpg?aki_policy=large
999670933248262232,Private room,https://airbnb.com/rooms/999670933248262232,23.592,58.404,"https://www.google.com/maps?q=23.592,58.404",Private room in rental unit,private_room,1,1,1,90,41,523691538,Fahimeh,,1,m,8,15.6,21,40,3218,3227,364,20,0,f,,11/8/2023,9/5/2025,,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,https://a0.muscache.com/im/pictures/hosting/Hosting-999670933248262232/original/56319134-9433-4ad7-9e7f-19dd7f7450fc.jpeg?aki_policy=large
831845607011601445,Prestine Beach and Comfortable Apartment OGP2901,https://airbnb.com/rooms/831845607011601445,23.561,58.628,"https://www.google.com/maps?q=23.561,58.628",Entire rental unit,entire_home,2,2,6,90,15,45785295,Vincent,,1,f,26,26,84,62,19841,19896,364,34,,f,,5/22/2023,1/16/2026,,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,https://a0.muscache.com/im/pictures/miso/Hosting-831845607011601445/original/e3c4c4d2-9957-489f-985b-7d75f6eae286.jpeg?aki_policy=large
